Wind speed [m/s],P_potential_kW
4.4,96.00000000000003
4.7,123.00000000000001
4.9,141.00000000000003
3.9,54.39999999999999
5.2,175.60000000000002
4.9,141.00000000000003
5.7,242.40000000000003
6.0,285.0
4.8,132.0
4.1,68.99999999999997
4.5,105.0
3.9,54.39999999999999
3.9,54.39999999999999
4.3,86.99999999999999
4.3,86.99999999999999
4.6,113.99999999999997
4.7,123.00000000000001
4.2,78.00000000000001
3.6,37.60000000000001
3.8,48.79999999999999
3.7,43.20000000000001
3.6,37.60000000000001
3.5,32.0
3.4,32.0
3.4,32.0
3.9,54.39999999999999
4.3,86.99999999999999
5.3,188.39999999999998
5.2,175.60000000000002
4.5,105.0
5.0,150.0
5.3,188.39999999999998
4.2,78.00000000000001
4.9,141.00000000000003
4.8,132.0
4.7,123.00000000000001
4.5,105.0
5.0,150.0
5.5,214.0
5.1,162.79999999999995
4.4,96.00000000000003
3.8,48.79999999999999
3.9,54.39999999999999
3.6,37.60000000000001
4.5,105.0
4.4,96.00000000000003
4.2,78.00000000000001
4.7,123.00000000000001
5.0,150.0
4.7,123.00000000000001
3.7,43.20000000000001
3.6,37.60000000000001
3.2,32.0
3.5,32.0
3.6,37.60000000000001
3.8,48.79999999999999
3.7,43.20000000000001
3.6,37.60000000000001
3.6,37.60000000000001
3.6,37.60000000000001
4.0,60.0
3.7,43.20000000000001
3.3,32.0
3.1,32.0
3.1,32.0
2.9,32.0
2.7,32.0
3.0,32.0
4.2,78.00000000000001
4.2,78.00000000000001
4.3,86.99999999999999
4.1,68.99999999999997
5.1,162.79999999999995
5.5,214.0
5.2,175.60000000000002
5.8,256.59999999999997
5.9,270.80000000000007
6.3,332.4
6.2,316.6
5.4,201.20000000000005
4.8,132.0
4.2,78.00000000000001
4.1,68.99999999999997
3.6,37.60000000000001
3.5,32.0
3.2,32.0
3.2,32.0
3.1,32.0
3.1,32.0
2.8,32.0
2.6,32.0
2.4,32.0
2.9,32.0
2.7,32.0
2.6,32.0
2.6,32.0
2.6,32.0
2.3,32.0
2.5,32.0
2.8,32.0
3.0,32.0
2.8,32.0
3.2,32.0
3.3,32.0
3.2,32.0
3.1,32.0
3.2,32.0
3.2,32.0
3.5,32.0
3.8,48.79999999999999
3.6,37.60000000000001
3.8,48.79999999999999
3.8,48.79999999999999
3.8,48.79999999999999
4.0,60.0
4.6,113.99999999999997
5.0,150.0
5.2,175.60000000000002
5.5,214.0
6.2,316.6
6.5,364.0
6.1,300.79999999999995
6.1,300.79999999999995
5.7,242.40000000000003
5.8,256.59999999999997
6.1,300.79999999999995
6.0,285.0
5.9,270.80000000000007
5.9,270.80000000000007
5.4,201.20000000000005
5.2,175.60000000000002
5.3,188.39999999999998
5.3,188.39999999999998
5.3,188.39999999999998
5.4,201.20000000000005
5.3,188.39999999999998
4.9,141.00000000000003
4.9,141.00000000000003
4.8,132.0
5.0,150.0
5.2,175.60000000000002
5.4,201.20000000000005
5.1,162.79999999999995
4.9,141.00000000000003
5.0,150.0
5.5,214.0
5.7,242.40000000000003
5.5,214.0
5.3,188.39999999999998
5.0,150.0
4.8,132.0
4.7,123.00000000000001
4.8,132.0
4.7,123.00000000000001
5.1,162.79999999999995
5.2,175.60000000000002
5.2,175.60000000000002
5.1,162.79999999999995
5.1,162.79999999999995
5.0,150.0
5.1,162.79999999999995
5.1,162.79999999999995
5.1,162.79999999999995
5.0,150.0
4.8,132.0
4.8,132.0
4.9,141.00000000000003
4.9,141.00000000000003
4.8,132.0
4.7,123.00000000000001
4.8,132.0
4.8,132.0
5.0,150.0
4.7,123.00000000000001
4.2,78.00000000000001
4.7,123.00000000000001
4.3,86.99999999999999
2.7,32.0
1.9,32.0
1.4,32.0
1.5,32.0
1.4,32.0
1.7,32.0
1.3,32.0
0.7,32.0
0.9,32.0
1.4,32.0
2.7,32.0
2.9,32.0
2.6,32.0
2.6,32.0
3.8,48.79999999999999
3.8,48.79999999999999
3.4,32.0
3.4,32.0
3.3,32.0
3.2,32.0
3.4,32.0
3.7,43.20000000000001
3.9,54.39999999999999
3.9,54.39999999999999
3.9,54.39999999999999
4.0,60.0
3.8,48.79999999999999
4.4,96.00000000000003
4.8,132.0
4.5,105.0
4.2,78.00000000000001
4.5,105.0
5.1,162.79999999999995
4.5,105.0
5.0,150.0
4.9,141.00000000000003
4.7,123.00000000000001
4.8,132.0
4.5,105.0
4.5,105.0
4.7,123.00000000000001
5.2,175.60000000000002
5.4,201.20000000000005
